userid,version,sum_gamerounds,retention_1,retention_7
100000,gate_30,12,True,False
100001,gate_30,1,False,False
100002,gate_30,86,True,False
100003,gate_30,45,True,False
100004,gate_30,21,False,False
100005,gate_30,27,True,False
100006,gate_30,41,True,True
100007,gate_30,94,True,False
100008,gate_30,38,False,False
100009,gate_30,0,True,False
100010,gate_30,60,False,False
100011,gate_30,21,True,True
100012,gate_30,52,True,True
100013,gate_30,35,False,False
100014,gate_30,67,True,False
100015,gate_30,90,False,False
100016,gate_30,47,False,False
100017,gate_30,167,False,False
100018,gate_30,124,True,True
100019,gate_30,129,False,False
100020,gate_30,111,True,False
100021,gate_30,59,False,False
100022,gate_30,25,True,False
100023,gate_30,48,True,False
100024,gate_30,22,False,False
100025,gate_30,112,False,False
100026,gate_30,4,True,True
100027,gate_30,48,False,False
100028,gate_30,85,True,False
100029,gate_30,106,False,False
100030,gate_30,53,False,False
100031,gate_30,44,False,False
100032,gate_30,5,True,False
100033,gate_30,17,False,False
100034,gate_30,13,False,False
100035,gate_30,39,False,False
100036,gate_30,21,False,False
100037,gate_30,1,True,True
100038,gate_30,7,False,False
100039,gate_30,300,False,False
100040,gate_30,11,False,False
100041,gate_30,87,True,False
100042,gate_30,8,False,False
100043,gate_30,12,False,False
100044,gate_30,47,True,True
100045,gate_30,8,False,False
100046,gate_30,14,False,False
100047,gate_30,16,True,True
100048,gate_30,21,False,False
100049,gate_30,4,False,False
100050,gate_30,15,True,False
100051,gate_30,1,False,False
100052,gate_30,71,False,False
100053,gate_30,68,False,False
100054,gate_30,7,False,False
100055,gate_30,39,True,True
100056,gate_30,146,True,True
100057,gate_30,2,True,False
100058,gate_30,23,False,False
100059,gate_30,1,False,False
100060,gate_30,81,False,False
100061,gate_30,14,False,False
100062,gate_30,142,True,False
100063,gate_30,29,False,False
100064,gate_30,176,False,False
100065,gate_30,70,False,False
100066,gate_30,38,True,False
100067,gate_30,5,False,False
100068,gate_30,71,False,False
100069,gate_30,28,False,False
100070,gate_30,97,False,False
100071,gate_30,145,True,True
100072,gate_30,149,False,False
100073,gate_30,108,False,False
100074,gate_30,2,True,False
100075,gate_30,112,True,True
100076,gate_30,23,False,False
100077,gate_30,26,True,False
100078,gate_30,48,True,True
100079,gate_30,88,False,False
100080,gate_30,74,False,False
100081,gate_30,25,True,False
100082,gate_30,60,False,False
100083,gate_30,3,True,True
100084,gate_30,146,False,False
100085,gate_30,12,False,False
100086,gate_30,158,False,False
100087,gate_30,75,True,False
100088,gate_30,15,False,False
100089,gate_30,21,True,True
100090,gate_30,2,False,False
100091,gate_30,29,False,False
100092,gate_30,41,False,False
100093,gate_30,29,False,False
100094,gate_30,5,True,False
100095,gate_30,51,True,True
100096,gate_30,34,False,False
100097,gate_30,74,False,False
100098,gate_30,53,False,False
100099,gate_30,7,False,False
100100,gate_30,12,False,False
100101,gate_30,38,False,False
100102,gate_30,15,True,True
100103,gate_30,72,True,True
100104,gate_30,2,False,False
100105,gate_30,14,True,False
100106,gate_30,117,False,False
100107,gate_30,0,True,False
100108,gate_30,39,False,False
100109,gate_30,30,True,False
100110,gate_30,11,True,True
100111,gate_30,18,True,False
100112,gate_30,33,False,False
100113,gate_30,57,False,False
100114,gate_30,41,False,False
100115,gate_30,116,False,False
100116,gate_30,7,False,False
100117,gate_30,2,True,True
100118,gate_30,13,False,False
100119,gate_30,24,False,False
100120,gate_30,66,True,False
100121,gate_30,2,False,False
100122,gate_30,57,False,False
100123,gate_30,31,True,False
100124,gate_30,61,True,False
100125,gate_30,48,True,False
100126,gate_30,2,False,False
100127,gate_30,23,True,False
100128,gate_30,43,False,False
100129,gate_30,63,True,False
100130,gate_30,84,True,False
100131,gate_30,17,False,False
100132,gate_30,10,True,False
100133,gate_30,0,False,False
100134,gate_30,279,False,False
100135,gate_30,250,False,False
100136,gate_30,45,False,False
100137,gate_30,9,False,False
100138,gate_30,73,False,False
100139,gate_30,63,False,False
100140,gate_30,50,False,False
100141,gate_30,51,True,True
100142,gate_30,75,True,False
100143,gate_30,44,True,True
100144,gate_30,24,False,False
100145,gate_30,78,False,False
100146,gate_30,18,False,False
100147,gate_30,41,True,False
100148,gate_30,48,False,False
100149,gate_30,47,False,False
100150,gate_30,68,True,False
100151,gate_30,58,False,False
100152,gate_30,206,False,False
100153,gate_30,31,True,False
100154,gate_30,114,True,False
100155,gate_30,18,False,False
100156,gate_30,39,True,False
100157,gate_30,23,False,False
100158,gate_30,25,True,False
100159,gate_30,157,False,False
100160,gate_30,14,True,True
100161,gate_30,20,False,False
100162,gate_30,5,True,True
100163,gate_30,1,False,False
100164,gate_30,36,True,False
100165,gate_30,19,False,False
100166,gate_30,50,True,False
100167,gate_30,191,False,False
100168,gate_30,11,True,True
100169,gate_30,10,False,False
100170,gate_30,10,False,False
100171,gate_30,10,True,False
100172,gate_30,78,False,False
100173,gate_30,88,False,False
100174,gate_30,18,False,False
100175,gate_30,7,True,True
100176,gate_30,180,False,False
100177,gate_30,26,False,False
100178,gate_30,42,True,False
100179,gate_30,144,True,True
100180,gate_30,27,False,False
100181,gate_30,62,False,False
100182,gate_30,239,True,False
100183,gate_30,33,False,False
100184,gate_30,26,False,False
100185,gate_30,6,True,True
100186,gate_30,75,False,False
100187,gate_30,186,False,False
100188,gate_30,1,False,False
100189,gate_30,30,False,False
100190,gate_30,71,True,False
100191,gate_30,19,False,False
100192,gate_30,148,False,False
100193,gate_30,67,True,False
100194,gate_30,38,False,False
100195,gate_30,12,False,False
100196,gate_30,57,False,False
100197,gate_30,47,True,True
100198,gate_30,23,False,False
100199,gate_30,14,False,False
100200,gate_30,155,False,False
100201,gate_30,7,True,True
100202,gate_30,118,False,False
100203,gate_30,73,True,False
100204,gate_30,94,False,False
100205,gate_30,205,False,False
100206,gate_30,91,False,False
100207,gate_30,118,False,False
100208,gate_30,167,False,False
100209,gate_30,113,False,False
100210,gate_30,6,False,False
100211,gate_30,7,False,False
100212,gate_30,61,True,True
100213,gate_30,48,True,False
100214,gate_30,21,True,False
100215,gate_30,41,False,False
100216,gate_30,98,True,True
100217,gate_30,8,True,False
100218,gate_30,46,True,False
100219,gate_30,23,True,False
100220,gate_30,58,False,False
100221,gate_30,29,False,False
100222,gate_30,16,False,False
100223,gate_30,79,False,False
100224,gate_30,25,False,False
100225,gate_30,24,True,False
100226,gate_30,27,False,False
100227,gate_30,3,True,True
100228,gate_30,91,False,False
100229,gate_30,0,False,False
100230,gate_30,34,False,False
100231,gate_30,28,True,True
100232,gate_30,57,True,True
100233,gate_30,60,False,False
100234,gate_30,8,False,False
100235,gate_30,10,False,False
100236,gate_30,39,False,False
100237,gate_30,44,True,False
100238,gate_30,204,True,False
100239,gate_30,72,False,False
100240,gate_30,15,True,False
100241,gate_30,11,True,False
100242,gate_30,16,True,True
100243,gate_30,40,False,False
100244,gate_30,14,True,False
100245,gate_30,82,False,False
100246,gate_30,19,False,False
100247,gate_30,36,False,False
100248,gate_30,51,False,False
100249,gate_30,2,True,False
100250,gate_30,1,True,True
100251,gate_30,166,False,False
100252,gate_30,33,False,False
100253,gate_30,13,False,False
100254,gate_30,0,False,False
100255,gate_30,99,True,False
100256,gate_30,29,False,False
100257,gate_30,25,False,False
100258,gate_30,112,False,False
100259,gate_30,3,True,False
100260,gate_30,2,False,False
100261,gate_30,93,False,False
100262,gate_30,74,True,False
100263,gate_30,36,False,False
100264,gate_30,4,True,False
100265,gate_30,57,True,False
100266,gate_30,87,False,False
100267,gate_30,21,False,False
100268,gate_30,181,False,False
100269,gate_30,100,True,True
100270,gate_30,2,True,True
100271,gate_30,3,False,False
100272,gate_30,39,False,False
100273,gate_30,49,True,False
100274,gate_30,17,True,False
100275,gate_30,18,False,False
100276,gate_30,48,True,False
100277,gate_30,101,False,False
100278,gate_30,20,False,False
100279,gate_30,31,True,False
100280,gate_30,77,False,False
100281,gate_30,103,True,True
100282,gate_30,38,True,False
100283,gate_30,106,True,True
100284,gate_30,155,True,True
100285,gate_30,53,True,False
100286,gate_30,51,False,False
100287,gate_30,2,False,False
100288,gate_30,23,False,False
100289,gate_30,52,False,False
100290,gate_30,16,False,False
100291,gate_30,117,True,True
100292,gate_30,30,True,False
100293,gate_30,47,False,False
100294,gate_30,25,False,False
100295,gate_30,3,False,False
100296,gate_30,148,False,False
100297,gate_30,112,False,False
100298,gate_30,67,True,False
100299,gate_30,74,True,True
100300,gate_30,27,False,False
100301,gate_30,7,False,False
100302,gate_30,7,True,False
100303,gate_30,1,False,False
100304,gate_30,83,True,True
100305,gate_30,71,True,True
